"","spp","trt","substrate","sample","year","stem.wt","roots.wt","leaves.wt","n.stem","c.stem","n.root","c.root","n.leaf","c.leaf","plant.lma","focal.lma","vcmax","jmax","d.13.C","chi","n.mg","p.mg"
"1","Holcus lanatus","High","Sand","H Hl 1",1,1.2161,1.7586,1.4838,0.628751755,41.91107178,0.707014382,42.47882843,1.394393802,40.99843216,17.86744043,NA,NA,NA,NA,NA,78,5.25
"2","Holcus lanatus","High","Sand","H Hl 2",1,0.9749,2.1002,1.3631,0.733547926,40.57700729,0.636834145,29.79408836,1.888800502,41.26639175,18.41857633,18.22803546,NA,NA,25.64738,0.940149669,78,5.25
"3","Holcus lanatus","High","Sand","H Hl 3",1,0.8391,2.3581,1.2283,NA,NA,NA,NA,NA,NA,18.48082638,NA,32.90194917,63.4591582,26.05523,0.958195902,78,5.25
"4","Holcus lanatus","High","Sand","H Hl 4",1,0.9739,1.7533,1.7733,0.895792663,40.17372894,0.827610552,44.1355629,1.687357664,42.00854111,24.17156693,16.38187478,21.67766158,43.07119488,25.60279,0.938176732,78,5.25
"5","Holcus lanatus","High","Sand","H Hl 5",1,0.6713,1.8437,1.3358,0.677657247,40.94615555,0.743947268,36.94622803,1.198948145,40.62265396,24.13435273,23.41052365,29.01231587,56.70918847,25.32792,0.926014081,78,5.25
"6","Holcus lanatus","High","Sand","H Hl 6",1,0.9159,0.8919,1.2973,0.799772799,40.54312515,0.91137886,39.71636963,1.728466392,41.17918777,15.09351217,NA,NA,NA,NA,NA,78,5.25
"7","Holcus lanatus","High","Sand","H Hl 7",1,1.0555,1.2159,1.5425,0.75128299,40.3599205,0.848054171,38.64918518,1.509912729,40.68556595,19.24029094,NA,NA,NA,NA,NA,78,5.25
"8","Holcus lanatus","High","Sand","H Hl 8",1,1.1225,1.4387,1.2358,0.657736003,40.30886459,0.762711346,30.63495445,1.797588825,42.0017662,15.87716603,15.53275425,36.730395,69.80428833,25.60386,0.938223705,78,5.25
"9","Holcus lanatus","High","Sand","H Hl 9",1,0.6868,1.7619,1.1748,0.605184913,41.49861145,0.643997014,43.6517334,1.551150203,41.01576996,17.41999287,16.76736519,31.52600259,56.46988507,25.3067,0.925075151,78,5.25
"10","Holcus lanatus","High","Sand","H Hl 10",1,1.0254,1.2558,1.3905,0.667535126,41.04525757,0.758073866,42.78804779,1.689844728,40.62356567,14.76898277,NA,NA,NA,NA,NA,78,5.25
"11","Holcus lanatus","Low","Sand","L Hl 1",1,0.2718,0.4747,0.4604,0.711104393,38.87136459,0.745827258,42.10527039,1.537213922,39.55594635,15.23409884,NA,5.376381191,11.37428392,26.72718,0.987928262,26,1.75
"12","Holcus lanatus","Low","Sand","L Hl 2",1,0.3888,0.8268,0.7021,0.616787374,39.56351852,0.642267108,37.40674973,1.200234056,39.62700653,16.89502924,17.63257482,NA,NA,24.3739,0.883800683,26,1.75
"13","Holcus lanatus","Low","Sand","L Hl 3",1,0.2431,0.681,0.4157,0.928428948,39.98804855,0.745485783,37.45389175,1.546670437,40.50075531,14.30939435,13.106702,10.27817394,23.70483896,25.19001,0.919911732,26,1.75
"14","Holcus lanatus","Low","Sand","L Hl 4",1,0.2686,1.2928,0.6205,0.658743739,39.33161926,0.499068767,24.70318222,1.172964334,40.03076172,23.27147561,NA,NA,NA,24.81253,0.903209085,26,1.75
"15","Holcus lanatus","Low","Sand","L Hl 5",1,0.2696,1.1041,0.5947,0.61728555,38.40309143,0.678762078,41.62111664,1.403721571,39.86438751,17.15996904,15.75796408,11.2753271,22.44331676,25.93943,0.953071945,26,1.75
"16","Holcus lanatus","Low","Sand","L Hl 6",1,0.32589,0.5841,0.5398,0.674879134,40.85569382,0.52883774,39.22860336,1.403876662,40.1988678,16.0572303,16.03522366,NA,NA,25.15924,0.918550663,26,1.75
"17","Holcus lanatus","Low","Sand","L Hl 8",1,0.3159,0.3945,0.3759,0.674683511,39.68739319,0.738275588,40.61196518,1.57781744,40.18032455,14.02414371,NA,NA,NA,NA,NA,26,1.75
"18","Holcus lanatus","Low","Sand","L Hl 9",1,0.3476,0.9965,0.4435,0.573618174,39.97107315,0.573180735,31.97429085,1.373776793,38.895401,14.4244922,NA,17.94673328,35.77640184,NA,NA,26,1.75
"19","Holcus lanatus","Low","Sand","L Hl 10",1,0.3145,0.5836,0.5189,0.743890703,41.5442009,0.697799623,43.94917297,1.374009371,39.67954254,14.29511624,13.77228395,7.712189854,15.65866943,26.47297,0.97667996,26,1.75
"20","Holcus lanatus","Medium","Sand","M Hl 1",1,0.5569,1.1075,0.6592,0.533985376,41.30421066,0.683003664,42.03377151,1.415477037,39.9132576,18.00589446,NA,NA,NA,NA,NA,36,2.4
"21","Holcus lanatus","Medium","Sand","M Hl 2",1,0.557,0.8436,0.7607,0.612699986,33.71560669,0.638912022,45.36952591,1.525007486,40.05314636,20.1147431,21.47120711,11.37103703,23.10326711,25.43191,0.930615399,36,2.4
"22","Holcus lanatus","Medium","Sand","M Hl 3",1,0.2708,0.8313,0.568,0.770083487,40.01673508,0.597172916,37.04256821,1.547806144,40.00304794,18.42571085,18.80365743,24.84180929,44.44236978,26.45064,0.975691881,36,2.4
"23","Holcus lanatus","Medium","Sand","M Hl 4",1,0.3366,0.9609,0.6104,0.679210842,40.43496704,0.569496036,38.62302399,1.096371174,40.45470047,19.14464845,NA,NA,NA,25.46799,0.932211992,36,2.4
"24","Holcus lanatus","Medium","Sand","M Hl 5",1,0.3334,0.9076,0.777,0.925963998,41.06380463,0.809287548,39.94745255,1.312262416,39.74509811,18.97481852,NA,22.77659996,45.43924555,26.79102,0.990752979,36,2.4
"25","Holcus lanatus","Medium","Sand","M Hl 6",1,0.4311,1.2098,0.833,0.923065782,38.22537231,0.838828743,31.86849594,1.322652578,39.49465942,25.23222213,NA,17.94298606,35.1649208,25.08925,0.915453362,36,2.4
"26","Holcus lanatus","Medium","Sand","M Hl 7",1,0.343,1.0923,0.6824,0.725227594,39.59899902,0.627615333,33.11849976,1.330682993,39.47551727,19.83592726,NA,NA,NA,25.51044,0.934090481,36,2.4
"27","Holcus lanatus","Medium","Sand","M Hl 8",1,0.5067,1.4914,0.8407,NA,NA,NA,NA,NA,NA,20.22039319,NA,19.04172434,35.94474416,25.48816,0.933104255,36,2.4
"28","Holcus lanatus","Medium","Sand","M Hl 9",1,0.3878,0.9133,0.7778,0.752948761,39.34505463,0.685175955,42.46990585,1.328935742,40.60978317,22.42628063,NA,NA,NA,NA,NA,36,2.4
"29","Holcus lanatus","Medium","Sand","M Hl 10",1,0.3055,1.2888,0.8038,0.767308414,40.02056885,0.715377867,39.75462723,1.06082356,40.97164536,21.0415824,NA,26.28760182,46.28688474,25.42023,0.930098878,36,2.4
"30","Solanum dulcamara","High","Sand","H Sd 1",1,2.6029,1.0525,1.2202,0.612492561,44.75364304,1.074770093,42.63874435,1.839493871,44.30012131,20.06148301,20.1146633,17.59597048,42.01824042,24.00337,0.867405569,78,5.25
"31","Solanum dulcamara","High","Sand","H Sd 2",1,2.3263,1.0642,1.0157,0.73747313,44.10729599,1.311828136,41.30615997,1.924061894,42.8787384,18.9682705,15.80676329,24.79131965,56.22206055,24.75741,0.900770402,78,5.25
"32","Solanum dulcamara","High","Sand","H Sd 3",1,2.4215,0.8678,0.97981,0.699552238,43.88168335,1.24087131,38.82815933,2.070842505,42.97526932,19.06912342,18.69516575,21.76507062,41.76310444,24.09333,0.871386149,78,5.25
"33","Solanum dulcamara","High","Sand","H Sd 4",1,2.9911,0.7455,1.1559,0.631601751,45.1307106,1.029899836,41.53437042,1.518977761,43.40774155,25.85262954,23.14585193,24.33395225,49.95753794,NA,NA,78,5.25
"34","Solanum dulcamara","High","Sand","H Sd 5",1,2.8774,0.7745,1.0705,0.58359158,45.3897934,1.232657313,41.66592026,1.855786324,43.78647232,21.10972521,21.20272784,24.92507071,46.50059674,23.88168,0.862021191,78,5.25
"35","Solanum dulcamara","High","Sand","H Sd 6",1,3.0181,0.5992,1.0495,0.788972795,45.39150238,1.109207392,42.70946884,2.132274389,44.48364258,23.02067626,NA,NA,NA,NA,NA,78,5.25
"36","Solanum dulcamara","High","Sand","H Sd 7",1,3.3607,1.0305,1.2909,0.615145385,44.78647232,0.910900295,38.46444702,1.474727035,44.15785217,30.98352883,30.38424476,NA,NA,23.67329,0.852800491,78,5.25
"37","Solanum dulcamara","High","Sand","H Sd 9",1,3.2561,1.3109,1.3405,0.458215952,45.13816833,1.118503928,39.39097977,1.612235665,42.93665695,21.26447152,NA,NA,NA,NA,NA,78,5.25
"38","Solanum dulcamara","High","Sand","H Sd 10",1,3.0314,0.9759,0.787,0.800107419,44.65273666,1.022669077,41.15829086,1.626881361,43.20157242,18.54268624,NA,17.69379036,37.37723496,NA,NA,78,5.25
"39","Solanum dulcamara","Low","Sand","L Sd 1",1,0.5514,0.3586,0.4648,0.646386564,43.71238708,0.93037647,39.64127731,0.874404609,42.70909119,30.34934498,28.82137935,22.95694989,49.78689933,24.25318,0.878459257,26,1.75
"40","Solanum dulcamara","Low","Sand","L Sd 2",1,0.7725,0.4238,0.5299,0.56295532,44.99354935,0.888578057,40.72605896,0.987554967,43.04844284,25.20916661,23.77227292,NA,NA,23.99596,0.867077787,26,1.75
"41","Solanum dulcamara","Low","Sand","L Sd 3",1,0.4328,0.3219,0.30714,0.655022681,43.66222763,0.880488992,32.30827713,1.352321625,41.98540878,21.739896,19.18173389,NA,NA,24.45545,0.8874092,26,1.75
"42","Solanum dulcamara","Low","Sand","L Sd 4",1,0.5256,0.4292,0.3564,0.623184562,44.33152008,1.024769187,40.50102234,1.56747067,42.44402313,22.0053829,20.27027027,16.70384368,37.72802836,24.55926,0.89200269,26,1.75
"43","Solanum dulcamara","Low","Sand","L Sd 5",1,0.2459,0.1342,0.2135,0.813858449,43.20324326,1.22219038,38.88872528,2.38823843,42.00033951,16.28886301,NA,NA,NA,NA,NA,26,1.75
"44","Solanum dulcamara","Low","Sand","L Sd 6",1,0.4049,0.3209,0.2858,0.49603188,43.97249222,0.890888333,36.21994019,0.905513406,41.56036758,25.49036305,20.19532192,NA,NA,24.55184,0.891674553,26,1.75
"45","Solanum dulcamara","Low","Sand","L Sd 7",1,0.3609,0.2959,0.3564,0.748331904,43.53432083,1.088974357,39.35428238,0.937159121,42.50460815,29.51609182,26.49941851,24.31666995,45.52500114,NA,NA,26,1.75
"46","Solanum dulcamara","Low","Sand","L Sd 8",1,0.3677,0.216,0.2913,0.672679722,43.83523941,1.055805326,42.05498505,0.85414058,42.14746094,33.52060428,NA,NA,NA,NA,NA,26,1.75
"47","Solanum dulcamara","Low","Sand","L Sd 9",1,0.5885,0.4043,0.494,0.681408465,43.75382233,0.823630273,36.45703125,0.967146933,42.65569687,29.75596735,27.84222738,17.33234995,35.98280133,23.4745,0.844004541,26,1.75
"48","Solanum dulcamara","Low","Sand","L Sd 10",1,0.5899,0.3469,0.3451,0.591073811,44.54032898,0.899127364,36.30098343,0.764334202,43.37811279,26.30591842,25.39134722,19.71758255,37.60477619,23.59186,0.849197481,26,1.75
"49","Solanum dulcamara","Medium","Sand","M Sd 1",1,1.1444,0.4339,0.625,0.538224161,44.29277802,1.059641957,41.09448624,1.200052977,43.53811646,24.08472979,21.77942539,NA,NA,24.29553,0.880333298,36,2.4
"50","Solanum dulcamara","Medium","Sand","M Sd 2",1,0.9779,0.5434,0.5282,0.590447962,44.40314102,0.997164249,37.46958542,1.696289063,42.69843674,21.36701688,20.75055188,18.43429924,37.05298194,24.0838,0.870964642,36,2.4
"51","Solanum dulcamara","Medium","Sand","M Sd 3",1,0.9097,0.3076,0.3894,0.591477692,43.18777466,1.024575472,38.12846375,1.774024487,42.99129868,20.58203948,NA,NA,NA,NA,NA,36,2.4
"52","Solanum dulcamara","Medium","Sand","M Sd 5",1,1.1363,0.5208,0.6608,0.702163994,43.49917603,0.904870868,36.54137421,1.298095822,42.8355751,28.57627586,28.1668403,17.51516292,33.93786928,24.11661,0.87241653,36,2.4
"53","Solanum dulcamara","Medium","Sand","M Sd 6",1,0.7026,0.4506,0.4956,0.652900815,43.00838089,1.161062717,38.91936111,1.437193394,42.61994553,19.42926533,17.68373427,21.51843464,41.8670044,24.67157,0.896972207,36,2.4
"54","Solanum dulcamara","Medium","Sand","M Sd 7",1,0.9968,0.6029,0.5846,0.617336392,44.95040131,0.815661848,30.50701714,1.354633093,42.56615448,25.00946816,22.58001178,21.14420426,36.7613222,24.4724,0.888159094,36,2.4
"55","Solanum dulcamara","Medium","Sand","M Sd 8",1,1.0714,0.4828,0.7403,0.646509469,43.8333168,0.98541522,39.29526138,1.229075074,42.35736465,26.01931789,24.68044055,22.73527155,38.5506221,NA,NA,36,2.4
"56","Solanum dulcamara","Medium","Sand","M Sd 9",1,1.2584,0.5149,0.6103,0.628820837,44.32705307,1.020449162,41.30487823,1.403707147,42.55728912,22.25422692,NA,NA,NA,NA,NA,36,2.4
"57","Solanum dulcamara","Medium","Sand","M Sd 10",1,0.9189,0.4606,0.7812,0.555694997,44.96217728,0.869121671,43.3410759,0.827700138,43.00148392,34.74623839,NA,NA,NA,NA,NA,36,2.4
"58","Holcus lanatus","Low","Sand","L HL 1",2,0.9312,1.5227,1.1466,1.187800407,74.7472229,0.544501424,41.39440918,1.197602868,40.68933105,20.33701336,20.33701336,14.80841248,28.59380912,25.86979743,0.949991037,26,1.75
"59","Holcus lanatus","Low","Sand","L HL 2",2,0.944,1.8228,1.541,0.55135709,39.70783997,0.564753115,41.53495026,1.081100464,40.26726151,24.12331856,24.12331856,16.5717399,33.90908238,25.91315213,0.951909386,26,1.75
"60","Holcus lanatus","Low","Sand","L HL 3",2,1.1591,1.0598,1.2715,0.58389616,39.56384659,0.713982224,40.34287643,1.359364271,40.52395248,22.85771681,0,NA,NA,NA,NA,26,1.75
"61","Holcus lanatus","Low","Sand","L HL 4",2,0.9262,2.1837,1.5194,0.513673306,39.59291077,0.506262958,36.78772354,1.125706196,41.27997971,24.38312771,24.38312771,14.57649545,26.50282494,26.03214221,0.957174434,26,1.75
"62","Holcus lanatus","Low","Sand","L HL 5",2,1.0959,1.9252,1.3777,0.497866511,37.26910019,0.576016188,41.06277466,1.130033255,40.34680176,21.52220397,21.52220397,18.09074532,34.57456184,26.50625166,0.978152728,26,1.75
"63","Holcus lanatus","Low","Sand","L HL 6",2,1.5866,2.1828,1.7962,0.390520781,40.75731277,0.722061396,40.70028305,1.08150053,41.32049942,19.22071984,19.22071984,11.75666933,23.35352703,25.87172456,0.950076308,26,1.75
"64","Holcus lanatus","Low","Sand","L HL 7",2,1.4011,1.8746,1.4989,0.527108133,39.11948395,0.698769629,40.43475342,1.462949634,41.49485016,22.59488486,22.59488486,11.60937928,25.39922949,25.97709069,0.954738526,26,1.75
"65","Holcus lanatus","Low","Sand","L HL 8",2,0.8415,1.9832,1.3283,0.545100451,36.79867554,0.593719959,42.74634171,1.300144076,41.24780655,20.63111967,0,NA,NA,NA,NA,26,1.75
"66","Solanum dulcamara","Low","Sand","L SD 1",2,2.3153,1.2244,1.0375,0.66755867,41.63260269,1.121759653,38.89981079,1.231256247,42.48086548,29.102871,35.94662219,23.59127122,50.63346322,23.9770744,0.86624223,26,1.75
"67","Solanum dulcamara","Low","Sand","L SD 2",2,2.4795,1.0779,0.9759,0.817374587,42.70774078,1.171392322,40.9200592,1.423351526,42.91176224,27.25815377,30.25167359,31.32474619,59.61194252,23.23575538,0.833440504,26,1.75
"68","Solanum dulcamara","Low","Sand","L SD 3",2,1.8749,0.7291,0.9586,0.589006901,40.28733444,1.143030167,38.60517883,1.442651987,42.82977676,30.82837988,0,NA,NA,NA,NA,26,1.75
"69","Solanum dulcamara","Low","Sand","L SD 4",2,2.4616,1.1829,1.0291,0.604197145,42.50704956,1.106001139,38.27972794,1.135880113,42.0845871,28.01775789,35.75297941,19.03493006,41.92605122,23.95590919,0.865305716,26,1.75
"70","Solanum dulcamara","Low","Sand","L SD 5",2,2.9175,1.1034,0.7894,0.588232696,42.60863876,1.181720018,40.06670761,1.544694304,43.1172905,29.35159257,34.34621675,30.03013206,59.57125952,23.8852086,0.862177372,26,1.75
"71","Solanum dulcamara","Low","Sand","L SD 6",2,2.5113,1.2718,1.1805,0.547268391,42.48846817,1.28281188,37.00873947,1.200978875,41.97143936,27.85652034,31.62346019,26.05609162,57.38800102,23.69036012,0.853555758,26,1.75
